title,company_name,location,formatted_experience_level,normalized_salary,python,sql,excel,tableau,powerbi
Data Analyst (Only W2),Systellar Technologies,"Juno Beach, FL",,,True,True,True,False,False
Sr. Data Analyst,INSPYR Solutions,"Deerfield Beach, FL",Mid-Senior level,145600.0,False,False,False,False,False
Data Analyst,Hotwire Communications Ltd,"Raleigh, NC",Entry level,,False,True,True,False,True
Data Analyst,NMR Consulting,"Huntsville, AL",Associate,85000.0,False,False,False,False,False
"Intern, Data Analyst (Projects) IOAO Supply Chain",Viatris,United States,Internship,52000.0,False,False,True,True,True
Catalog Data Analyst - Heavy Duty,MANN+HUMMEL,"Gastonia, NC",Associate,,False,False,True,False,False
Marketing Data Analyst,AAA Club Alliance,"Wilmington, DE",Associate,,False,True,True,False,True
Loans Transformation Data Analyst,Collabera,"New York, NY",Entry level,,False,True,True,False,False
Sr. Provider Data Analyst ( 100% Remote),"LanceSoft, Inc.",United States,,,False,False,False,False,False
Data Analyst Strategist & Technology Engineer,Stearns Bank N.A.,United States,Mid-Senior level,130000.0,True,True,True,True,True
Data Analyst,Flock Safety,United States,Entry level,127500.0,True,True,False,True,False
ArcGIS Data Analyst,CACI International Inc,"Charlottesville, VA",Entry level,115650.0,False,False,False,False,False
Data Analyst - Python/AWS (W2) (REMOTE),Quess US,United States,Mid-Senior level,98800.0,True,True,True,False,False
Financial Data Analyst,Kiewit,"Omaha, NE",Mid-Senior level,,False,True,True,True,True
Junior Data Analyst,Intelliswift Software,"Plano, TX",,,False,True,True,False,False
Data Analyst,Genpact,"San Antonio, Texas Metropolitan Area",Mid-Senior level,,True,True,True,True,False
